Soru_MetniOCR,Alt_Konu,Zorluk,Gorsel_Tipi,Kaynak_Tipi,egitim_agirligi,is_LGS,ocr_kelime_sayisi,ocr_karakter_sayisi,ocr_rakam_sayisi,ocr_cok_adimli
A = x^3 . y^1 . z^2 şeklinde yazılabilen en küçük A doğal sayısı kaçtır?,carpanlar,3,yok,baslangic,0.3,0,15,72,3,0
Buna göre A sayısı aşağıdakilerden hangisi olamaz?,carpanlar,2,yok,baslangic,0.3,0,7,50,0,0
Buna göre işleminin sonucu kaçtır?,carpanlar,3,yok,baslangic,0.3,0,5,34,0,0
"Buna göre, bu halkalar verilen kurala göre çubuklara takıldığında aşağıdaki halkalardan hangisi dışta kalır?",carpanlar,3,resimli,baslangic,0.3,0,14,108,0,0
"Buna göre, bu kutudaki toplam şeker sayısı kaçtır?",carpanlar,3,resimli,baslangic,0.3,0,8,50,0,0
B bölgesinin alanının santimetrekare cinsinden değeri aşağıdakilerden hangisi olamaz?,carpanlar,4,geometrik_sekil,ornek,0.8,1,9,85,0,0
Verilenlere göre bu dikdörtgenlerden birinin çevresinin uzunluğu kaç santimetredir?,carpanlar,4,geometrik_sekil,ornek,0.8,1,9,83,0,0
"Buna göre Ahmet'in 14 sayısını söylediği oyunda, Deniz aşağıdaki sayılardan hangisini söylerse oyunu kazanır?",carpanlar,3,resimli,ornek,0.8,1,14,109,2,0
Buna göre bu kartonun çevresinin uzunluğu en fazla kaç santimetredir?,carpanlar,4,geometrik_sekil,ornek,0.8,1,10,69,0,1
"Bu kartona yerleştirilen beyaz kart sayısı 3 olduğuna göre, en fazla kaç adet asal çarpan kartı yerleştirilmiştir?",carpanlar,5,resimli,ornek,0.8,1,17,114,1,1
"1'den 7'ye kadar olan sayıların yerleştirildiği çarpım tablosu bulmacasında, eksik olan a ve b değerlerinin toplamının bulunması istenmektedir.",carpanlar,3,sematik,ornek,0.8,1,18,143,2,0
"Üzerinde sayılar yazan kartların, asal çarpan sayılarına (1, 2 veya 3 tane) göre kutulara eşit sayıda dağıtılması kuralına dayanarak, ters çevrilmiş karttaki sayının bulunması istenmektedir.",carpanlar,3,sematik,ornek,0.8,1,25,190,3,0
"Asansörlerin kendi numaralarının katı olan katlarda durmadığı bir iş yerinde, duran asansör sayısı karşılaştırmasına göre Onur'un kat numarasının bulunması.",carpanlar,4,sematik,ornek,0.8,1,19,156,0,0
"Eylül ayı takviminde, günün tarihinin asal çarpan sayısı kadar ders yapan bir öğretmenin ay boyunca yaptığı toplam ders sayısı sorulmaktadır.",carpanlar,3,sematik,ornek,0.8,1,20,141,0,0
"Ürün kodları çarpılarak etiket numarası, birim fiyatları toplanarak satış fiyatı bulunan paketlerde; etiket numarası 270 ve 300 olan iki paketin toplam fiyatı sorulmaktadır.",carpanlar,4,resimli,ornek,0.8,1,23,173,6,0
48 ve 72 sayılarının en büyük ortak böleninin (EBOB) hesaplanması istenmektedir.,ebob_ekok,1,yok,baslangic,0.3,0,11,80,4,0
"Bir üçgen şemasında a, b ve c harflerinin, bağlı oldukları sayı çiftlerinin EBOB'una eşit olduğu kurala göre a+b+c toplamı sorulmaktadır.",ebob_ekok,2,sematik,baslangic,0.3,0,20,137,0,0
"EBOB(24, A) = 12 eşitliğini sağlayan en küçük üç basamaklı A sayısının bulunması istenmektedir.",ebob_ekok,2,yok,baslangic,0.3,0,14,95,4,0
54 kg şeker ve 96 kg nohutun birbirine karıştırılmadan ve hiç artmayacak şekilde eşit torbalara paylaştırılması için gereken en az torba sayısı sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3,0,23,158,4,1
"Kenarları 192 m ve 248 m olan dikdörtgen tarlanın etrafına, köşelere de gelmek şartıyla eşit aralıklarla dikilecek en az fidan sayısı sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3,0,22,148,6,1
216 cm ve 315 cm boyutlarındaki banyo zeminini kaplayacak eş kare fayansların bir kenar uzunluğunun en fazla kaç cm olabileceği sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3,0,21,142,6,1
"120 ve 165 cm'lik iki tahta parçasının eş uzunlukta parçalara ayrılması işleminde, her kesim 15 saniye sürdüğüne göre işin toplam süresi sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3,0,22,151,8,0
540 cm ve 780 cm kenar uzunluğuna sahip dikdörtgen salonun zeminine hiç boşluk kalmayacak şekilde döşenecek en az eş kare mermer sayısı sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3,0,23,150,6,1
45 cm ve 72 cm kenar uzunluklarına sahip dikdörtgen yapbozu oluşturan eş kare parçaların sayısının en az kaç olduğu sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3,0,20,130,4,1
"İki yüzünün alanı 12 cm² ve 18 cm² olan dikdörtgenler prizmasının, tam sayı olan ayrıtlarına göre üretilebilecek en fazla farklı hacim sayısı sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3,0,23,156,4,1
"Bir pisti 4 ve 6 dakikada turlayan iki aracın, aynı anda başladıktan kaç dakika sonra tekrar başlangıç çizgisinde yan yana gelecekleri sorulmaktadır.",ebob_ekok,1,yok,baslangic,0.3,0,22,149,2,0
"9 günde ve 12 günde bir nöbet tutan iki hemşirenin, birlikte nöbet tuttuktan en az kaç gün sonra tekrar birlikte nöbet tutacakları sorulmaktadır.",ebob_ekok,1,yok,baslangic,0.3,0,23,145,3,1
Asal çarpanlarına ayrılmış hâli verilen A ve B sayılarının en küçük ortak katının (EKOK) hesaplanması.,ebob_ekok,2,yok,baslangic,0.3,0,15,102,0,0
"B sayısı A ile 36'nın EBOB'una, 2 ile 4'ün ise EKOK'una eşit olduğuna göre; verilen seçeneklerden hangisinin A sayısı olamayacağının bulunması.",ebob_ekok,3,yok,baslangic,0.3,0,21,143,4,0
Üslü ifade biçiminde verilmiş A ve B sayılarının EKOK değerinin EBOB değerine oranının bulunması.,ebob_ekok,3,yok,baslangic,0.3,0,14,97,0,0
Birbirine oranı 2/3 olan ve EKOK'ları 48 olan iki doğal sayının EBOB'unun bulunması.,ebob_ekok,2,yok,baslangic,0.3,0,13,84,4,0
EKOK'ları 120 olan iki doğal sayının toplamının alabileceği en küçük değerin bulunması.,ebob_ekok,3,yok,baslangic,0.3,0,12,87,3,0
"14 ile x sayısının EKOK'u 126 olduğuna göre, x'in alabileceği farklı değerlerin toplamının bulunması.",ebob_ekok,3,yok,baslangic,0.3,0,14,101,5,0
1'den 100'e kadar olan sayılar arasında 12 ve 16'nın ortak katı olan kaç adet sayı olduğunun bulunması.,ebob_ekok,2,yok,baslangic,0.3,0,17,103,8,0
"6 ve 7 günde bir temizlenen iki aracın, aynı gün temizlendikten sonraki 120 gün içinde kaç kez daha aynı gün temizlenecekleri sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3,0,22,140,5,1
"36 ve 45 dakika arayla çalan iki zilin, 07.30'da birlikte çaldıktan sonra ilk kez saat kaçta tekrar birlikte çalacakları sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3,0,20,135,8,0
"30 ve 36 dakika arayla çalan iki alarmın, 14.00'te birlikte çaldıktan sonra ikinci kez saat kaçta birlikte çalacakları sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3,0,19,133,8,0
"Eş karesel zemine sahip iki banyodan biri 18 cm, diğeri 16 cm'lik kare fayanslarla kaplandığında kullanılan toplam fayans sayısının en az kaç olacağı sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3,0,24,164,4,1
Kenar uzunlukları 12 cm ve 16 cm olan dikdörtgen parçaların en az kaç tanesi yan yana getirilerek bir kare oluşturulabileceği sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3,0,21,140,4,1
"Üslü ifadelerle tanımlanmış A ve B sayılarının EKOK değeri verildiğinde, üslerdeki bilinmeyenlerin (x ve y) toplamının hangisi olamayacağı sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3,0,19,153,0,0
"23⋅3a şeklinde verilen bir sayı ile 60 sayısının EKOK'u 360 olduğuna göre, a değerinin bulunması istenmektedir.",ebob_ekok,2,yok,baslangic,0.3,0,16,111,8,0
12 ve 18 sayılarına bölündüğünde 5 kalanını veren en küçük üç basamaklı doğal sayının bulunması.,ebob_ekok,2,yok,baslangic,0.3,0,15,96,5,0
12 ve 16 sayılarına bölündüğünde 7 kalanını veren en küçük üç basamaklı doğal sayının birler basamağındaki rakam sorulmaktadır.,ebob_ekok,3,yok,baslangic,0.3,0,18,127,5,0
Üçer ve dörder inildiğinde her seferinde 1 basamak artan bir merdivenin basamak sayısının en az kaç olduğu sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3,0,18,121,1,1
"Dörder ve altışar sayıldığında 3 bilye artan bir kutudaki bilye sayısının 400'den fazla olduğu bilindiğine göre, en az kaç bilye olduğu sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3,0,22,150,4,1
700 cm'den fazla uzunluktaki 30 cm ve 36 cm'lik demir çubuklarla tabure yapma.,ebob_ekok,3,sematik,baslangic,0.3,0,13,78,7,1
"Ayşe, Mehmet ve Kemal'in ceviz sayılarının oranları ve en az ceviz durumunda yanlış ifadeyi bulma.",ebob_ekok,2,yok,baslangic,0.3,0,15,98,0,1
"İki eşit şeridin boyanma kuralları verilmiş, ilk kez aynı hizada boyandığı yerdeki yanlış ifadeyi bulma.",ebob_ekok,3,sematik,baslangic,0.3,0,15,104,0,0
"Zeytinyağının yarısı 250 ml, diğer yarısı 400 ml şişelere; 8000 TL'den fazla gelir elde etme.",ebob_ekok,4,resimli,baslangic,0.3,0,15,93,10,1
İki kutudaki boncukların 150'den az ve eşit olma; kapak kapatıldığında artan boncuk sayıları (kalanlı EKOK).,ebob_ekok,4,sematik,baslangic,0.3,0,15,108,3,1
"İki doğal sayıdan biri diğerinin 3 katı, EKOK'u 54 ise EBOB'u kaçtır?",ebob_ekok,2,yok,baslangic,0.3,0,12,69,3,0
"a · 18 = EKOK(a, 18) ise bu eşitliği sağlayan 18'den küçük kaç tane a doğal sayısı vardır?",ebob_ekok,3,yok,baslangic,0.3,0,18,90,6,0
45 ile 75 sayılarının EBOB'u ile EKOK'unun çarpımı kaçtır?,ebob_ekok,1,yok,baslangic,0.3,0,9,58,4,0
"İki sayının EKOK'u 72, EBOB'u 12. Sayılardan biri 24 ise diğeri kaçtır?",ebob_ekok,2,yok,baslangic,0.3,0,12,71,6,0
Sarı (6 cm + 2 cm artmış) ve mavi (10 cm + 2 cm artmış) kartonların uzun kenarının en fazla değeri; parça sayıları farkı 10'dan az.,ebob_ekok,4,sematik,ornek,0.8,1,26,131,7,1
275 kırmızı ve 135 yeşil elmanın eşit paketlenmesi; kırmızı elmanın 5'li ve 8'li paketleme sayısının yeşil paket sayısına eşit olması.,ebob_ekok,4,yok,ornek,0.8,1,20,134,8,0
"K, L, M, N, P şehirleri arası mesafeler verilmiş, 100 km/sa ve 120 km/sa hızla giden iki otobüsün mola tesisinin hangi iki şehir arasında olduğunu bulma.",ebob_ekok,3,sematik,ornek,0.8,1,26,153,6,0
A ve B filmlerinin süreleri ve başlama saatleri verilmiş; aynı anda başladıklarında salona girenlerin en az bekleme süresi.,ebob_ekok,4,sematik,ornek,0.8,1,18,123,0,1
"A yönünden 6, B yönünden 8 dakikada bir metro gelmekte. 8.40'ta aynı anda gelmişler. Beren istasyona geldiğinde, 5 dakika beklemesi kalmış; saati bulma.",ebob_ekok,4,resimli,ornek,0.8,1,23,152,6,0
"Başak ve Pınar'ın ürün alımı; A ürünü 120 TL/kg, B ürünü 70 TL/kg. Toplam kütle 30 kg'dan az, toplam kütleler eşit. Pınar'ın ödediği TL'yi bulma.",ebob_ekok,4,yok,ornek,0.8,1,25,145,7,0
150 L bal ve 90 L pekmezin eşit hacimli kaplara paylaşımı; en az sayıda kap kullanımı; kap sayısının 32'den fazla olması.,ebob_ekok,4,yok,ornek,0.8,1,21,121,7,1
"22 cm ve 16 cm çubukların 8 cm'lik bağlantı parçalarıyla birleştirilmesi; Gamze ve Melis'in eşit uzunlukta, 1 m'den fazla çubuk elde etmesi.",ebob_ekok,4,sematik,ornek,0.8,1,22,140,6,1
"Üç farklı renkte 5'er adet boncuk; her bir renk farklı asal sayıyı temsil etmekte; çubuklara yerleştirilme ve 150, A, B kartlarındaki sayıların çarpımı.",ebob_ekok,3,sematik,ornek,0.8,1,23,152,4,0
"48 günlük tiyatro planı; A salonu 2 günde, B salonu 3 günde bir gösteri yapacak. A'da 17 gösteri yapıldığına göre B'de kaç gösteri yapılmıştır?",ebob_ekok,4,yok,ornek,0.8,1,24,143,6,0
"160 cm ve 96 cm demir çubuklardan eşit uzunlukta parçalar kesme; sarıdan 4, maviden 4 parçanın birleşmesiyle çerçeve yapımı; aradaki en az fark.",ebob_ekok,4,sematik,ornek,0.8,1,23,144,7,1
648 adet yumurtanın 30'dan az ve eşit sayıda kolilere konulması; satılmayan yumurta sayısının 360 olması; en az kaç koli yumurta satılmıştır?,ebob_ekok,4,yok,ornek,0.8,1,21,141,8,1
"A (48), B (32), C (60) kurslarındaki öğrencilerin sınıflara 10'dan fazla, 20'den az kişi yerleştirilmesi; sınıfların alt/üst katlarda eşit öğrenci kısıtlamaları.",ebob_ekok,5,sematik,ornek,0.8,1,21,161,10,1
"Mavi (M), Kırmızı (K) ve Yeşil (Y) flamaların eşit aralıklarla (ardışık) yerleştirilmesi; başlangıç/bitiş noktaları ve flama renk kısıtlamalarına göre en az mesafeyi bulma.",ebob_ekok,4,sematik,ornek,0.8,1,23,172,0,1
4 cm kısa kenarlı iki çitanın kesilerek yeşil ve turuncu kare çerçeveler yapılması; çevresi 56 cm olan kare çerçeve için en az kaç çita kullanılmıştır?,ebob_ekok,4,sematik,ornek,0.8,1,25,151,3,1
40 cm ve 70 cm'lik dikdörtgen taşların 30 metreden az düz bir kaldırıma boşluksuz yerleştirilmesi; kare prizma şeklindeki sarı taş sayısının en çok kaç olduğunu bulma.,ebob_ekok,4,sematik,ornek,0.8,1,26,167,6,1
"640 kırmızı ve 520 mavi bilyenin eşit sayıda ve aynı renkte kutulanması; satılmayan mavi kutu sayısının, satılmayan kırmızı kutu sayısının 3 katı olması; mavi kutunun fiyatını bulma.",ebob_ekok,5,resimli,ornek,0.8,1,27,182,7,0
Diktörtgen biçimindeki iş yerinin alanları verilmiş; tüm bölümlerin kenar uzunlukları doğal sayı. Arşiv ve Mutfak bölümlerinin alanları toplamının en az kaç olduğunu bulma.,ebob_ekok,5,sematik,ornek,0.8,1,23,172,0,1
İki kumbarada (150 ve 90 adet 1 TL) kalan para miktarının her gün sonunda EBOB'u olup olmadığını sorgulama; Beren'in her gün birinden diğerinde kalan para kadar harcaması.,ebob_ekok,4,resimli,ornek,0.8,1,27,171,6,0
"60 kırmızı, 72 mavi, 42 yeşil kalemin en fazla 15 kalem alan kutulara, eşit sayıda ve tek renkte yerleştirilmesi; satılan en fazla kutu sayısını bulma.",ebob_ekok,4,resimli,ornek,0.8,1,25,151,8,1
"4 traktörün 1 dekar arazi için yakıt miktarı; A, B (50 dekar altı) ve C, D (120 dekar altı) ile eşit miktarda yakıt tüketimi; toplam yakıtın en fazla kaç TL olduğu.",ebob_ekok,4,sematik,ornek,0.8,1,31,164,7,1
Domates ve biberden salça yapma; salçaların karışmayacak ve artmayacak şekilde eşit büyüklükteki kavanozlara doldurulması; en az kaç kavanoz kullanılır?,ebob_ekok,3,yok,ornek,0.8,1,19,152,0,1
"3 koşucunun (Ali, Eren, Mehmet) parkurda koşma süreleri; yarım saat ve bir saat içinde birbirleriyle karşılaşma durumlarını inceleme.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,18,133,1,0
"ki radyoda (A: 12 dk müzik + 4 dk reklam, B: 16 dk müzik + 4 dk reklam) yayınlanan programlar; saat 10.00'da başlayan programdan sonra Banu'nun müziğe denk geldiği saati bulma.",ebob_ekok,3,yok,ornek,0.8,1,31,176,10,0
"4 çeşit şeker (45, 54, 60, 72 adet) ikişerli gruplanarak poşetlenmesi; her poşette 3'ten fazla şeker olması; poşetteki şeker sayısı farkının en fazla kaç olduğunu bulma.",ebob_ekok,4,resimli,ornek,0.8,1,26,169,10,1
40 cm ve 30 cm tekerlek merkezlerinin yerden yüksekliği olan iki bisikletin aynı mesafeyi tekerleklerinin tam tur atarak tamamlaması; en az kaç santimetre mesafe denediği.,ebob_ekok,3,resimli,ornek,0.8,1,25,171,4,1
Sınıf numaralarının (1'den 5'e kadar kat numaraları ve 1-5'ten salona numaraları) tek bir asal çarpanı olması; bu salon numaralarının EKOK'unu bulma.,ebob_ekok,4,resimli,ornek,0.8,1,21,149,4,0
"Dikdörtgen şeklindeki kartonların kenar uzunlukları ve alanları verilmiş, bu kartonların birleştirilmesiyle oluşturulan yeni şeklin alanının en fazla kaç olacağı sorulmaktadır.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,20,176,0,1
"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,23,193,0,1
"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,21,176,0,0
"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,23,193,0,1
"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,21,176,0,0
"İki farklı uzunluktaki veya miktardaki nesnenin (çubuk, kumaş vb.) hiç artmayacak şekilde eşit ve en büyük parçalara ayrılması; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",ebob_ekok,3,sematik,ornek,0.8,1,26,187,0,0
"Farklı zaman aralıklarında gerçekleşen iki olayın (zil çalması, nöbet tutma, araç seferi vb.) aynı anda gerçekleştiği anların veya bu karşılaşmaların sayısının bulunması problemi.",ebob_ekok,3,resimli,ornek,0.8,1,23,179,0,0
"Üç farklı markanın (A, B, C) ürünlerinin veya cihazlarının belirli periyotlarla çalışma/durma süreleri verilmiş; bu cihazların aynı anda çalışmaya/durmaya başladıkları anların veya sürelerin hesaplanması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,25,213,0,0
"Bir toplantı salonuna veya sınıfa, genişlikleri farklı iki tür koltuğun/sıranın, aralarında boşluk kalmayacak ve duvarla bitişik olacak şekilde dizilmesi; salon genişliği veya koltuk sayısı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,25,204,0,0
"Farklı uzunluklara sahip iki veya daha fazla rafın/çubuğun, hiç artmayacak şekilde eşit uzunlukta en büyük parçalara bölünmesi; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",ebob_ekok,3,sematik,ornek,0.8,1,25,187,0,0
"Belirli bir kurala göre nöbet tutan veya sefere çıkan iki kişinin/aracın, başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı anda bu eylemi gerçekleştireceğinin bulunması problemi.",ebob_ekok,3,resimli,ornek,0.8,1,26,186,0,0
"Farklı kütlelere veya hacimlere sahip iki ürünün (çuval, bidon vb.), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki en az sayıda kaba paylaştırılması problemi.",ebob_ekok,3,resimli,ornek,0.8,1,24,182,0,1
"Kenar uzunlukları verilen dikdörtgen şeklindeki kartonların veya fayansların, aralarında boşluk kalmayacak şekilde birleştirilerek en küçük alanlı karenin (veya zeminin) oluşturulması; parça sayısının bulunması.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,23,211,0,0
Farklı uzunluklara veya sürelere sahip iki çubuğun/olayın (örn. reklam panosu aydınlatma süreleri veya iki farklı ürünün uzunlukları) eşlenmesi; en kısa sürede veya en küçük ortak uzunlukta buluşma anının/noktasının hesaplanması.,ebob_ekok,3,sematik,ornek,0.8,1,29,229,0,0
"Kenar uzunlukları verilen dikdörtgen şeklindeki bir bahçenin veya zeminin etrafına/içine, köşelere de gelmek şartıyla eşit aralıklarla direk/ağaç dikilmesi veya fayans döşenmesi; en az malzeme sayısının bulunması problemi.",ebob_ekok,3,geometrik_sekil,ornek,0.8,1,27,222,0,1
"Belirli aralıklarla tekrarlanan iki farklı durumun (sefer saatleri, nöbetleşme veya zil çalması gibi) gün içerisinde kaç kez aynı anda gerçekleştiğinin veya bir sonraki ortak zamanın hesaplanması problemi.",ebob_ekok,3,sematik,ornek,0.8,1,27,205,0,0
"Farklı boyutlara sahip dikdörtgen şeklindeki parçaların veya alanların, aralarında boşluk kalmayacak şekilde birleştirilerek daha büyük bir kare veya dikdörtgen zemin oluşturulması; en az parça sayısının bulunması.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,26,214,0,1
"Belirli aralıklarla tekrarlanan iki farklı işin veya durumun (ilaç alma, sefer saati vb.) başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı ana denk geleceğinin hesaplanması problemi.",ebob_ekok,3,sematik,ornek,0.8,1,27,190,0,0
"Kenar uzunlukları verilen bir alanın veya levhanın, hiç artmayacak şekilde eş kare parçalara ayrılması veya köşelerine de gelmek şartıyla eşit aralıklarla noktalanması/bölünmesi; parça/nokta sayısı sorulmaktadır.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,25,212,0,0
"Farklı uzunluktaki iki tahta veya metal çubuğun, hiç parça artmayacak şekilde eşit uzunlukta en büyük parçalara ayrılması; oluşan parça sayısı veya her kesim işlemi için ödenen ücret üzerinden toplam maliyet hesabı sorulmaktadır.",ebob_ekok,3,sematik,ornek,0.8,1,32,229,0,0
Belirli bir kurala göre (örneğin 3'ün ve 4'ün pozitif tam sayı katları olan) numaralandırılmış kutuların veya koltukların seçilmesi/boyanması; hem 3'ün hem 4'ün katı olan (ortak kat) numaraların tespit edilmesi problemi.,ebob_ekok,4,sematik,ornek,0.8,1,30,220,4,0
"Verilen bir kurala göre (örneğin iki farklı ürünün raf/kutu dizilimi veya sayısal eşleşmesi) yapılan yerleştirme işleminde, belirli şartları (boşluk kalmama, eşit yükseklik vb.) sağlayan en küçük ortak katın veya değerin bulunması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,32,240,0,0
"Verilen iki farklı sayısal değerin (genellikle çuval ağırlıkları veya tank hacimleri), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki kaplara paylaştırılması; en az kap/paket sayısı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,26,219,0,1
"Belirli bir kurala göre periyodik olarak tekrar eden iki farklı eylemin (örneğin iki farklı zilin çalması veya iki aracın sefer yapması), başlangıçtan sonraki ortak gerçekleşme zamanının (EKOK) hesaplanması problemi.",ebob_ekok,3,sematik,ornek,0.8,1,29,216,0,0
"Verilen bir alana veya rafa, boyutları farklı iki veya daha fazla nesnenin (kutu, kitap, fayans vb.) belirli bir kurala göre (örneğin aralarında boşluk kalmadan veya belirli periyotlarla) yerleştirilmesi; alanın uzunluğunun veya kullanılan nesne sayısının hesaplanması problemi.",ebob_ekok,4,resimli,ornek,0.8,1,36,278,0,0
Verilen iki doğal sayının en büyük ortak böleninin (EBOB) veya en küçük ortak katının (EKOK) bulunması ve bu değerlerle yapılan temel dört işlem sorusu.,aralarinda_asal,1,yok,baslangic,0.3,0,24,152,0,0
"İki farklı sayısal değerin (kütle, uzunluk vb.) ebob'u kullanılarak, artmadan eş parçalara ayrılması durumunda oluşacak parça sayısının bulunması (Temel problem).",aralarinda_asal,2,yok,baslangic,0.3,0,20,162,0,0
Belirli aralıklarla (dakika/saat) gerçekleşen iki basit olayın (zil çalması vb.) ilk kez veya ikinci kez ne zaman aynı anda gerçekleşeceğinin hesaplanması.,aralarinda_asal,2,sematik,baslangic,0.3,0,21,155,0,0
