ID,Soru_Metni(OCR),Alt_Konu,Zorluk,Görsel_Tipi,Kaynak_Tipi
P12-S52,"9 günde ve 12 günde bir nöbet tutan iki hemşirenin, birlikte nöbet tuttuktan en az kaç gün sonra tekrar birlikte nöbet tutacakları sorulmaktadır.",EBOB ve EKOK,1,Yok,Başlangıç Sorusu
P13-S53,Asal çarpanlarına ayrılmış hâli verilen A ve B sayılarının en küçük ortak katının (EKOK) hesaplanması.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P13-S54,"B sayısı A ile 36'nın EBOB'una, 2 ile 4'ün ise EKOK'una eşit olduğuna göre; verilen seçeneklerden hangisinin A sayısı olamayacağının bulunması.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P13-S55,Üslü ifade biçiminde verilmiş A ve B sayılarının EKOK değerinin EBOB değerine oranının bulunması.,EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P13-S56,Birbirine oranı 2/3 olan ve EKOK'ları 48 olan iki doğal sayının EBOB'unun bulunması.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P13-S57,EKOK'ları 120 olan iki doğal sayının toplamının alabileceği en küçük değerin bulunması.,EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P13-S58,"14 ile x sayısının EKOK'u 126 olduğuna göre, x'in alabileceği farklı değerlerin toplamının bulunması.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P14-S59,1'den 100'e kadar olan sayılar arasında 12 ve 16'nın ortak katı olan kaç adet sayı olduğunun bulunması.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P14-S60,"6 ve 7 günde bir temizlenen iki aracın, aynı gün temizlendikten sonraki 120 gün içinde kaç kez daha aynı gün temizlenecekleri sorulmaktadır.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P14-S61,"36 ve 45 dakika arayla çalan iki zilin, 07.30'da birlikte çaldıktan sonra ilk kez saat kaçta tekrar birlikte çalacakları sorulmaktadır.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P14-S62,"30 ve 36 dakika arayla çalan iki alarmın, 14.00'te birlikte çaldıktan sonra ikinci kez saat kaçta birlikte çalacakları sorulmaktadır.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P14-S63,"Eş karesel zemine sahip iki banyodan biri 18 cm, diğeri 16 cm'lik kare fayanslarla kaplandığında kullanılan toplam fayans sayısının en az kaç olacağı sorulmaktadır.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P14-S64,Kenar uzunlukları 12 cm ve 16 cm olan dikdörtgen parçaların en az kaç tanesi yan yana getirilerek bir kare oluşturulabileceği sorulmaktadır.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P15-S65,"Üslü ifadelerle tanımlanmış A ve B sayılarının EKOK değeri verildiğinde, üslerdeki bilinmeyenlerin (x ve y) toplamının hangisi olamayacağı sorulmaktadır.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P15-S66,"23⋅3a şeklinde verilen bir sayı ile 60 sayısının EKOK'u 360 olduğuna göre, a değerinin bulunması istenmektedir.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P15-S67,12 ve 18 sayılarına bölündüğünde 5 kalanını veren en küçük üç basamaklı doğal sayının bulunması.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P15-S68,12 ve 16 sayılarına bölündüğünde 7 kalanını veren en küçük üç basamaklı doğal sayının birler basamağındaki rakam sorulmaktadır.,EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P15-S69,Üçer ve dörder inildiğinde her seferinde 1 basamak artan bir merdivenin basamak sayısının en az kaç olduğu sorulmaktadır.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P15-S70,"Dörder ve altışar sayıldığında 3 bilye artan bir kutudaki bilye sayısının 400'den fazla olduğu bilindiğine göre, en az kaç bilye olduğu sorulmaktadır.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P16-S71,700 cm'den fazla uzunluktaki 30 cm ve 36 cm'lik demir çubuklarla tabure yapma.,EBOB ve EKOK,3,Şematik,Başlangıç Sorusu
P16-S72,"Ayşe, Mehmet ve Kemal'in ceviz sayılarının oranları ve en az ceviz durumunda yanlış ifadeyi bulma.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P16-S73,"İki eşit şeridin boyanma kuralları verilmiş, ilk kez aynı hizada boyandığı yerdeki yanlış ifadeyi bulma.",EBOB ve EKOK,3,Şematik,Başlangıç Sorusu
P17-S74,"Zeytinyağının yarısı 250 ml, diğer yarısı 400 ml şişelere; 8000 TL'den fazla gelir elde etme.",EBOB ve EKOK,4,Resimli,Başlangıç Sorusu
P17-S75,İki kutudaki boncukların 150'den az ve eşit olma; kapak kapatıldığında artan boncuk sayıları (kalanlı EKOK).,EBOB ve EKOK,4,Şematik,Başlangıç Sorusu
P18-S76,"İki doğal sayıdan biri diğerinin 3 katı, EKOK'u 54 ise EBOB'u kaçtır?",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P18-S77,"a · 18 = EKOK(a, 18) ise bu eşitliği sağlayan 18'den küçük kaç tane a doğal sayısı vardır?",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P18-S78,45 ile 75 sayılarının EBOB'u ile EKOK'unun çarpımı kaçtır?,EBOB ve EKOK,1,Yok,Başlangıç Sorusu
P18-S79,"İki sayının EKOK'u 72, EBOB'u 12. Sayılardan biri 24 ise diğeri kaçtır?",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P19-S80,Sarı (6 cm + 2 cm artmış) ve mavi (10 cm + 2 cm artmış) kartonların uzun kenarının en fazla değeri; parça sayıları farkı 10'dan az.,EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P19-S81,275 kırmızı ve 135 yeşil elmanın eşit paketlenmesi; kırmızı elmanın 5'li ve 8'li paketleme sayısının yeşil paket sayısına eşit olması.,EBOB ve EKOK,4,Yok,LGS Örnek Soru
P20-S82,"K, L, M, N, P şehirleri arası mesafeler verilmiş, 100 km/sa ve 120 km/sa hızla giden iki otobüsün mola tesisinin hangi iki şehir arasında olduğunu bulma.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P20-S83,A ve B filmlerinin süreleri ve başlama saatleri verilmiş; aynı anda başladıklarında salona girenlerin en az bekleme süresi.,EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P21-S84,"A yönünden 6, B yönünden 8 dakikada bir metro gelmekte. 8.40'ta aynı anda gelmişler. Beren istasyona geldiğinde, 5 dakika beklemesi kalmış; saati bulma.",EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P21-S85,"Başak ve Pınar'ın ürün alımı; A ürünü 120 TL/kg, B ürünü 70 TL/kg. Toplam kütle 30 kg'dan az, toplam kütleler eşit. Pınar'ın ödediği TL'yi bulma.",EBOB ve EKOK,4,Yok,LGS Örnek Soru
P22-S86,150 L bal ve 90 L pekmezin eşit hacimli kaplara paylaşımı; en az sayıda kap kullanımı; kap sayısının 32'den fazla olması.,EBOB ve EKOK,4,Yok,LGS Örnek Soru
P22-S87,"22 cm ve 16 cm çubukların 8 cm'lik bağlantı parçalarıyla birleştirilmesi; Gamze ve Melis'in eşit uzunlukta, 1 m'den fazla çubuk elde etmesi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P23-S88,"Üç farklı renkte 5'er adet boncuk; her bir renk farklı asal sayıyı temsil etmekte; çubuklara yerleştirilme ve 150, A, B kartlarındaki sayıların çarpımı.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P23-S89,"48 günlük tiyatro planı; A salonu 2 günde, B salonu 3 günde bir gösteri yapacak. A'da 17 gösteri yapıldığına göre B'de kaç gösteri yapılmıştır?",EBOB ve EKOK,4,Yok,LGS Örnek Soru
P24-S90,"160 cm ve 96 cm demir çubuklardan eşit uzunlukta parçalar kesme; sarıdan 4, maviden 4 parçanın birleşmesiyle çerçeve yapımı; aradaki en az fark.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P24-S91,648 adet yumurtanın 30'dan az ve eşit sayıda kolilere konulması; satılmayan yumurta sayısının 360 olması; en az kaç koli yumurta satılmıştır?,EBOB ve EKOK,4,Yok,LGS Örnek Soru
P25-S92,"A (48), B (32), C (60) kurslarındaki öğrencilerin sınıflara 10'dan fazla, 20'den az kişi yerleştirilmesi; sınıfların alt/üst katlarda eşit öğrenci kısıtlamaları.",EBOB ve EKOK,5,Şematik,LGS Örnek Soru
P25-S93,"Mavi (M), Kırmızı (K) ve Yeşil (Y) flamaların eşit aralıklarla (ardışık) yerleştirilmesi; başlangıç/bitiş noktaları ve flama renk kısıtlamalarına göre en az mesafeyi bulma.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P26-S94,4 cm kısa kenarlı iki çitanın kesilerek yeşil ve turuncu kare çerçeveler yapılması; çevresi 56 cm olan kare çerçeve için en az kaç çita kullanılmıştır?,EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P26-S95,40 cm ve 70 cm'lik dikdörtgen taşların 30 metreden az düz bir kaldırıma boşluksuz yerleştirilmesi; kare prizma şeklindeki sarı taş sayısının en çok kaç olduğunu bulma.,EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P27-S96,"640 kırmızı ve 520 mavi bilyenin eşit sayıda ve aynı renkte kutulanması; satılmayan mavi kutu sayısının, satılmayan kırmızı kutu sayısının 3 katı olması; mavi kutunun fiyatını bulma.",EBOB ve EKOK,5,Resimli,LGS Örnek Soru
P27-S97,Diktörtgen biçimindeki iş yerinin alanları verilmiş; tüm bölümlerin kenar uzunlukları doğal sayı. Arşiv ve Mutfak bölümlerinin alanları toplamının en az kaç olduğunu bulma.,EBOB ve EKOK,5,Şematik,LGS Örnek Soru
P28-S98,İki kumbarada (150 ve 90 adet 1 TL) kalan para miktarının her gün sonunda EBOB'u olup olmadığını sorgulama; Beren'in her gün birinden diğerinde kalan para kadar harcaması.,EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P28-S99,"60 kırmızı, 72 mavi, 42 yeşil kalemin en fazla 15 kalem alan kutulara, eşit sayıda ve tek renkte yerleştirilmesi; satılan en fazla kutu sayısını bulma.",EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P29-S100,"4 traktörün 1 dekar arazi için yakıt miktarı; A, B (50 dekar altı) ve C, D (120 dekar altı) ile eşit miktarda yakıt tüketimi; toplam yakıtın en fazla kaç TL olduğu.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P29-S101,Domates ve biberden salça yapma; salçaların karışmayacak ve artmayacak şekilde eşit büyüklükteki kavanozlara doldurulması; en az kaç kavanoz kullanılır?,EBOB ve EKOK,3,Yok,LGS Örnek Soru
P30-S102,"3 koşucunun (Ali, Eren, Mehmet) parkurda koşma süreleri; yarım saat ve bir saat içinde birbirleriyle karşılaşma durumlarını inceleme.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P30-S103,"ki radyoda (A: 12 dk müzik + 4 dk reklam, B: 16 dk müzik + 4 dk reklam) yayınlanan programlar; saat 10.00'da başlayan programdan sonra Banu'nun müziğe denk geldiği saati bulma.",EBOB ve EKOK,3,Yok,LGS Örnek Soru
P31-S104,"4 çeşit şeker (45, 54, 60, 72 adet) ikişerli gruplanarak poşetlenmesi; her poşette 3'ten fazla şeker olması; poşetteki şeker sayısı farkının en fazla kaç olduğunu bulma.",EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P31-S105,40 cm ve 30 cm tekerlek merkezlerinin yerden yüksekliği olan iki bisikletin aynı mesafeyi tekerleklerinin tam tur atarak tamamlaması; en az kaç santimetre mesafe denediği.,EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P32-S106,Sınıf numaralarının (1'den 5'e kadar kat numaraları ve 1-5'ten salona numaraları) tek bir asal çarpanı olması; bu salon numaralarının EKOK'unu bulma.,EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P32-S107,"Dikdörtgen şeklindeki kartonların kenar uzunlukları ve alanları verilmiş, bu kartonların birleştirilmesiyle oluşturulan yeni şeklin alanının en fazla kaç olacağı sorulmaktadır.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P33-S108,"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P33-S109,"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P33-S108,"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P33-S109,"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P35-S112,"İki farklı uzunluktaki veya miktardaki nesnenin (çubuk, kumaş vb.) hiç artmayacak şekilde eşit ve en büyük parçalara ayrılması; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P35-S113,"Farklı zaman aralıklarında gerçekleşen iki olayın (zil çalması, nöbet tutma, araç seferi vb.) aynı anda gerçekleştiği anların veya bu karşılaşmaların sayısının bulunması problemi.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P36-S114,"Üç farklı markanın (A, B, C) ürünlerinin veya cihazlarının belirli periyotlarla çalışma/durma süreleri verilmiş; bu cihazların aynı anda çalışmaya/durmaya başladıkları anların veya sürelerin hesaplanması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P36-S115,"Bir toplantı salonuna veya sınıfa, genişlikleri farklı iki tür koltuğun/sıranın, aralarında boşluk kalmayacak ve duvarla bitişik olacak şekilde dizilmesi; salon genişliği veya koltuk sayısı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P37-S116,"Farklı uzunluklara sahip iki veya daha fazla rafın/çubuğun, hiç artmayacak şekilde eşit uzunlukta en büyük parçalara bölünmesi; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P37-S117,"Belirli bir kurala göre nöbet tutan veya sefere çıkan iki kişinin/aracın, başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı anda bu eylemi gerçekleştireceğinin bulunması problemi.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P38-S118,"Farklı kütlelere veya hacimlere sahip iki ürünün (çuval, bidon vb.), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki en az sayıda kaba paylaştırılması problemi.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P38-S119,"Kenar uzunlukları verilen dikdörtgen şeklindeki kartonların veya fayansların, aralarında boşluk kalmayacak şekilde birleştirilerek en küçük alanlı karenin (veya zeminin) oluşturulması; parça sayısının bulunması.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P39-S120,Farklı uzunluklara veya sürelere sahip iki çubuğun/olayın (örn. reklam panosu aydınlatma süreleri veya iki farklı ürünün uzunlukları) eşlenmesi; en kısa sürede veya en küçük ortak uzunlukta buluşma anının/noktasının hesaplanması.,EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P39-S121,"Kenar uzunlukları verilen dikdörtgen şeklindeki bir bahçenin veya zeminin etrafına/içine, köşelere de gelmek şartıyla eşit aralıklarla direk/ağaç dikilmesi veya fayans döşenmesi; en az malzeme sayısının bulunması problemi.",EBOB ve EKOK,3,Geometrik Şekil,LGS Örnek Soru
P40-S122,"Belirli aralıklarla tekrarlanan iki farklı durumun (sefer saatleri, nöbetleşme veya zil çalması gibi) gün içerisinde kaç kez aynı anda gerçekleştiğinin veya bir sonraki ortak zamanın hesaplanması problemi.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P40-S123,"Farklı boyutlara sahip dikdörtgen şeklindeki parçaların veya alanların, aralarında boşluk kalmayacak şekilde birleştirilerek daha büyük bir kare veya dikdörtgen zemin oluşturulması; en az parça sayısının bulunması.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P41-S124,"Belirli aralıklarla tekrarlanan iki farklı işin veya durumun (ilaç alma, sefer saati vb.) başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı ana denk geleceğinin hesaplanması problemi.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P41-S125,"Kenar uzunlukları verilen bir alanın veya levhanın, hiç artmayacak şekilde eş kare parçalara ayrılması veya köşelerine de gelmek şartıyla eşit aralıklarla noktalanması/bölünmesi; parça/nokta sayısı sorulmaktadır.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P42-S126,"Farklı uzunluktaki iki tahta veya metal çubuğun, hiç parça artmayacak şekilde eşit uzunlukta en büyük parçalara ayrılması; oluşan parça sayısı veya her kesim işlemi için ödenen ücret üzerinden toplam maliyet hesabı sorulmaktadır.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P42-S127,Belirli bir kurala göre (örneğin 3'ün ve 4'ün pozitif tam sayı katları olan) numaralandırılmış kutuların veya koltukların seçilmesi/boyanması; hem 3'ün hem 4'ün katı olan (ortak kat) numaraların tespit edilmesi problemi.,EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P43-S128,"Verilen bir kurala göre (örneğin iki farklı ürünün raf/kutu dizilimi veya sayısal eşleşmesi) yapılan yerleştirme işleminde, belirli şartları (boşluk kalmama, eşit yükseklik vb.) sağlayan en küçük ortak katın veya değerin bulunması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
